Key,en,es,ar,fr
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.,Code de vérification envoyé à votre adresse e-mail.
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Jeton de réinitialisation du mot de passe expiré
Verification code already used,Verification code already used,Código de verificación ya utilizado,رمز التحقق مستخدم بالفعل,Code de vérification déjà utilisé
Session expired. Please try again.,Session expired. Please try again.,Sesión expirada. Inténtalo de nuevo.,انتهت الجلسة. حاول مرة اخرى.,La session a expiré. Veuillez réessayer.
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من Otp غير صالح,La vérification Otp est invalide
You can resend the verification code after,You can resend the verification code after,Puedes reenviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Vous pouvez renvoyer le code de vérification après
seconds,Seconds,Segundos,ثواني,Secondes
Verification code resend success,Verification code resend success,Reenvío exitoso del código de verificación,تمت إعادة إرسال رمز التحقق بنجاح,Code de vérification renvoyé avec succès
Password reset success. Please login with new password.,Password reset success. Please login with new password.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.,Réinitialisation réussie du mot de passe. Veuillez vous connecter avec un nouveau mot de passe.
"User already  exists, please try with another email","User already  exists, please try with another email","El usuario ya existe, intente con otro correo electrónico.",المستخدم موجود بالفعل، يرجى المحاولة باستخدام بريد إلكتروني آخر,"L'utilisateur existe déjà, veuillez essayer avec une autre adresse e-mail"
The verification code does not match,The verification code does not match,El código de verificación no coincide,رمز التحقق غير متطابق,Le code de vérification ne correspond pas
Otp successfully verified,Otp successfully verified,OTP verificado exitosamente,تم التحقق من Otp بنجاح,OTP vérifié avec succès
User Registration KYC,User Registration KYC,Registro de usuario KYC,تسجيل المستخدم KYC,Enregistrement des utilisateurs KYC
Phone number is already exists,Phone number is already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل,Le numéro de téléphone existe déjà
User Registration,User Registration,registro de usuario,تسجيل المستخدم,Enregistrement de l'utilisateur
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
Verify User,Verify User,Verificar usuario,التحقق من المستخدم,Vérifier l'utilisateur
Reset Password Page,Reset Password Page,Página para restablecer la contraseña,إعادة تعيين صفحة كلمة المرور,Page Réinitialiser le mot de passe
User Login,User Login,Inicio de sesión de usuario,تسجيل دخول المستخدم,Utilisateur en ligne
Please submit kyc information!,Please submit kyc information!,¡Por favor envíe información de kyc!,يرجى تقديم معلومات kyc!,Veuillez soumettre les informations kyc !
Please wait before admin approves your kyc information,Please wait before admin approves your kyc information,Espere antes de que el administrador apruebe su información de kyc.,يرجى الانتظار قبل أن يوافق المسؤول على معلومات kyc الخاصة بك,Veuillez patienter avant que l'administrateur n'approuve vos informations kyc
"Admin rejected your kyc information, Please re-submit again","Admin rejected your kyc information, Please re-submit again",El administrador rechazó su información de kyc. Vuelva a enviarla,رفض المشرف معلومات kyc الخاصة بك، يرجى إعادة الإرسال مرة أخرى,L'administrateur a rejeté vos informations kyc. Veuillez les soumettre à nouveau.
Transaction Failed. The record didn't save properly. Please try again,Transaction Failed. The record didn't save properly. Please try again,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo,فشل الاجراء. لم يتم حفظ السجل بشكل صحيح. حاول مرة اخرى,La transaction a échoué. L'enregistrement n'a pas été sauvegardé correctement. Veuillez réessayer
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada exitosamente!,تم إرسال طلب المعاملة بنجاح!,Demande de transaction envoyée avec succès !
Successfully Added Money,Successfully Added Money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح,Argent ajouté avec succès
Manual Payment,Manual Payment,Pago manual,الدفع اليدوي,Paiement manuel
Add money cancelled,Add money cancelled,Agregar dinero cancelado,تم إلغاء إضافة الأموال,Ajouter de l'argent annulé
Added Money Failed,Added Money Failed,Error al agregar dinero,فشلت إضافة الأموال,L'argent ajouté a échoué
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق,Le hachage de la transaction est requis pour la vérification
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de transacción no es válido! Por favor ingresa un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة,Le hachage de la transaction n'est pas valide ! Veuillez saisir un hachage valide
Insufficient amount added. Please contact with system administrator,,#VALUE!,#VALUE!,#VALUE!
Your Wallet,Your Wallet,Tu billetera,محفظتك,Ton portefeuille
balance  has been added,balance  has been added,se ha agregado saldo,تمت إضافة الرصيد,le solde a été ajouté
By,By,Por,بواسطة,Par
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione el alias de moneda de la pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع,Les informations sur la passerelle ne sont pas disponibles. Veuillez fournir l'alias de la devise de la passerelle de paiement
Gateway not available,Gateway not available,Puerta de enlace no disponible,البوابة غير متوفرة,Passerelle non disponible
User wallet not found,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!,Portefeuille utilisateur introuvable !
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacciones,يرجى اتباع حد المعاملة,Veuillez respecter la limite de transaction
Gateway currency not found,Gateway currency not found,Moneda de la puerta de enlace no encontrada,لم يتم العثور على عملة البوابة,Devise de la passerelle introuvable
Render Failed! Please call with valid gateway/credentials,Render Failed! Please call with valid gateway/credentials,¡Error de renderizado! Por favor llame con puerta de enlace/credenciales válidas,فشل العرض! يرجى الاتصال باستخدام بوابة/بيانات اعتماد صالحة,Échec du rendu ! Veuillez appeler avec une passerelle/des informations d'identification valides
Request user doesn\'t save properly. Please try again,Request user doesn\'t save properly. Please try again,El usuario solicitado no se guarda correctamente. Inténtalo de nuevo,طلب المستخدم لا يحفظ بشكل صحيح. حاول مرة اخرى,L'utilisateur demandé n'enregistre pas correctement. Veuillez réessayer
Transaction Failed. Gateway currency not available,Transaction Failed. Gateway currency not available,Transacción fallida. Moneda de puerta de enlace no disponible,فشل الاجراء. عملة البوابة غير متوفرة,La transaction a échoué. Devise de la passerelle non disponible
Something went wrong! Gateway render failed. Please call gateway() method before calling api() method,Something went wrong! Gateway render failed. Please call gateway() method before calling api() method,¡Algo salió mal! Error al procesar la puerta de enlace. Llame al método gateway() antes de llamar al método api(),هناك خطأ ما! فشل تقديم البوابة. يرجى الاتصال بطريقة البوابة () قبل استدعاء طريقة api ().,Quelque chose s'est mal passé ! Le rendu de la passerelle a échoué. Veuillez appeler la méthode gateway() avant d'appeler la méthode api()
Something went wrong! Failed to make URL Params.,Something went wrong! Failed to make URL Params.,¡Algo salió mal! No se pudieron crear los parámetros de URL.,هناك خطأ ما! فشل في إنشاء معلمات URL.,Quelque chose s'est mal passé ! Échec de la création des paramètres d'URL.
Gateway not found,Gateway not found,Puerta de enlace no encontrada,لم يتم العثور على البوابة,Passerelle introuvable
Failed to create developer API. Something went wrong!,Failed to create developer API. Something went wrong!,No se pudo crear la API de desarrollador. ¡Algo salió mal!,فشل في إنشاء واجهة برمجة تطبيقات المطور. هناك خطأ ما!,Échec de la création de l'API du développeur. Quelque chose s'est mal passé !
Failed to create Gateway Settings. Something went wrong!,Failed to create Gateway Settings. Something went wrong!,No se pudo crear la configuración de la puerta de enlace. ¡Algo salió mal!,فشل في إنشاء إعدادات البوابة. هناك خطأ ما!,Échec de la création des paramètres de passerelle. Quelque chose s'est mal passé !
Failed to create wallet! Please try again,Failed to create wallet! Please try again,¡No se pudo crear la billetera! Inténtalo de nuevo,فشل في إنشاء المحفظة! حاول مرة اخرى,Échec de la création du portefeuille ! Veuillez réessayer
Payment gateway not available,Payment gateway not available,Pasarela de pago no disponible,بوابة الدفع غير متوفرة,Passerelle de paiement non disponible
Oops! Request endpoint not registered!,Oops! Request endpoint not registered!,¡Ups! ¡Solicitud de punto final no registrado!,أُووبس! طلب نقطة النهاية غير مسجلة!,Oops! Point de terminaison de la demande non enregistré !
Add Money request send to admin successfully,Add Money request send to admin successfully,Agregar solicitud de dinero enviada al administrador con éxito,تم إرسال طلب إضافة أموال إلى المشرف بنجاح,La demande d'ajout d'argent a été envoyée à l'administrateur avec succès
Transaction failed. Payment captured failed.,Transaction failed. Payment captured failed.,Transacción fallida. El pago capturado falló.,فشل الاجراء. فشل القبض على الدفع.,La transaction a échoué. Le paiement capturé a échoué.
Payment From PayLink,Payment From PayLink,Pago desde PayLink,الدفع من PayLink,Paiement depuis PayLink
Successful,Successful,Exitoso,ناجح,Réussi
Gateway is not available right now! Please contact with system administration,Gateway is not available right now! Please contact with system administration,¡La puerta de enlace no está disponible en este momento! Por favor contacte con la administración del sistema.,البوابة غير متوفرة الآن! يرجى التواصل مع إدارة النظام,La passerelle n'est pas disponible pour le moment ! Veuillez contacter l'administration du système
No Action Executed!,No Action Executed!,¡No se ejecutó ninguna acción!,لم يتم تنفيذ أي إجراء!,Aucune action exécutée !
Can't change anything for demo application,Can't change anything for demo application,No se puede cambiar nada para la aplicación de demostración,لا يمكن تغيير أي شيء للتطبيق التجريبي,Je ne peux rien changer pour l'application de démonstration
